Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
1.15,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.263,0.737,2903761.5,7.849389416553596,56.58555133079848,3.5006784260515604
1.15,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.245,0.755,,7.72317880794702,53.142857142857146,3.6834437086092717
1.15,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.265,0.735,194415105.0,7.636734693877551,50.91320754716981,3.617687074829932
1.15,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.223,0.777,27408476.735159818,6.239382239382239,98.98206278026906,3.160875160875161
1.1625,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.283,0.717,39823896.833333336,7.196652719665272,92.03886925795052,3.5285913528591353
1.1625,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.277,0.723,39161957.3,6.385892116182573,77.70758122743682,3.409405255878285
1.1625,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.282,0.718,,6.012534818941504,69.38297872340425,3.222841225626741
1.1625,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.268,0.732,,7.047814207650274,62.59701492537314,3.3866120218579234
1.1625,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.268,0.732,,8.180327868852459,58.667910447761194,3.530054644808743
1.1625,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.252,0.748,,6.165775401069519,54.57539682539682,3.343582887700535
1.1625,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.263,0.737,,6.504748982360923,54.72243346007605,3.3527815468113977
1.1625,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.27,0.73,,7.486301369863014,52.648148148148145,3.7095890410958905
1.1625,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.264,0.736,4915.0,6.46875,50.67045454545455,3.402173913043478
1.1625,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.25,0.75,44940840.72857143,6.224,98.48,3.1986666666666665
1.175,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.286,0.714,43343901.37931035,6.65406162464986,88.37412587412588,3.38515406162465
1.175,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.305,0.695,63416210.0,5.863309352517986,76.34754098360656,3.19136690647482
1.175,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.286,0.714,22941829.666666668,6.442577030812325,67.60839160839161,3.358543417366947
1.175,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.276,0.724,,6.519337016574585,61.72826086956522,3.342541436464088
1.175,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.284,0.716,6233132.0,6.343575418994414,57.75,3.386871508379888
