Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
1.15,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.232,0.768,32267631.88839286,7.069010416666667,98.92241379310344,3.3736979166666665
1.15,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.258,0.742,39129763.107317075,6.815363881401617,98.04651162790698,3.3315363881401616
1.15,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.24,0.76,45910972.22077922,7.372368421052632,91.9625,3.531578947368421
1.15,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.279,0.721,6862678.0,7.449375866851595,70.41218637992831,3.6158113730929267
1.15,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.251,0.749,28446096.82040816,7.230974632843791,98.9601593625498,3.3951935914552736
1.2,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.315,0.685,64291490.84210526,5.364963503649635,87.2,3.0583941605839415
1.2,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.332,0.668,47274949.5,5.1706586826347305,85.40963855421687,3.029940119760479
1.2,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.308,0.692,55723446.0,5.427745664739884,79.53246753246754,3.0447976878612715
1.2,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.301,0.699,,5.336194563662374,62.737541528239205,2.938483547925608
1.2,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.314,0.686,66522530.55,6.004373177842566,88.28343949044586,3.1559766763848396
1.25,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.396,0.604,,4.71523178807947,73.00757575757575,2.870860927152318
1.25,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.337,0.663,,4.239819004524887,72.20771513353115,2.717948717948718
1.25,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.367,0.633,,5.0,69.22343324250681,2.9541864139020535
1.25,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.351,0.649,,4.63482280431433,57.34757834757835,2.785824345146379
1.25,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.371,0.629,91188998.0,5.465818759936407,74.21832884097034,3.0604133545310015
1.3,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.426,0.574,,3.956445993031359,63.389671361502344,2.583623693379791
1.3,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.409,0.591,,3.8629441624365484,62.618581907090466,2.5076142131979697
1.3,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.425,0.575,,4.095652173913043,61.30117647058824,2.6139130434782607
1.3,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.422,0.578,,4.204152249134948,52.654028436018955,2.629757785467128
1.3,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.417,0.583,,4.97770154373928,63.89928057553957,2.9639794168096056
1.35,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.444,0.556,,3.8093525179856114,56.26801801801802,2.634892086330935
1.35,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.462,0.538,,3.4516728624535316,56.16017316017316,2.4144981412639406
