pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
0.507,0.493,,3.2210953346855984,39.451676528599606,2.3225152129817443
0.506,0.494,,2.8684210526315788,50.976284584980235,2.103238866396761
0.542,0.45799999999999996,,3.368995633187773,51.103321033210335,2.3449781659388647
0.499,0.501,,3.157684630738523,51.23246492985972,2.2934131736526946
0.525,0.475,,2.9747368421052633,46.20761904761905,2.24
0.548,0.45199999999999996,,2.9889380530973453,45.198905109489054,2.269911504424779
0.561,0.43899999999999995,,2.7676537585421412,43.409982174688054,2.1571753986332576
0.545,0.45499999999999996,,2.8395604395604397,41.69357798165137,2.2
0.565,0.43500000000000005,,3.2160919540229886,39.842477876106194,2.3241379310344827
0.568,0.43200000000000005,,2.7847222222222223,38.63556338028169,2.1319444444444446
0.569,0.43100000000000005,,2.8445475638051043,37.246045694200355,2.1577726218097446
0.552,0.44799999999999995,,2.84375,46.60507246376812,2.2433035714285716
0.552,0.44799999999999995,,3.046875,46.32608695652174,2.28125
0.544,0.45599999999999996,,3.0899122807017543,46.71139705882353,2.2828947368421053
0.601,0.399,,2.3508771929824563,42.96838602329451,1.9598997493734336
0.609,0.391,,2.6342710997442453,42.252873563218394,2.051150895140665
0.59,0.41000000000000003,,2.597560975609756,41.09661016949153,2.053658536585366
0.589,0.41100000000000003,,2.9367396593673964,39.488964346349746,2.2627737226277373
0.57,0.43000000000000005,,2.6534883720930234,38.44385964912281,2.1069767441860465
0.582,0.41800000000000004,,2.8205741626794256,37.18900343642612,2.1818181818181817
0.614,0.386,,2.466321243523316,36.188925081433226,2.010362694300518
0.58,0.42000000000000004,,2.466666666666667,43.25,2.011904761904762
0.585,0.41500000000000004,,2.4819277108433737,43.0034188034188,2.0240963855421685
0.591,0.40900000000000003,,2.6797066014669926,43.18274111675127,2.1100244498777507
0.599,0.401,,2.082294264339152,39.806343906510854,1.800498753117207
0.622,0.378,,2.2830687830687832,39.30225080385852,1.8756613756613756
0.602,0.398,,2.1683417085427137,38.604651162790695,1.8366834170854272
0.613,0.387,,2.697674418604651,37.66884176182708,2.103359173126615
0.639,0.361,,2.739612188365651,36.84820031298904,2.1274238227146816
0.592,0.40800000000000003,,2.4411764705882355,35.298986486486484,1.9583333333333333
0.613,0.387,,2.330749354005168,34.29853181076672,1.950904392764858
0.622,0.378,,2.447089947089947,40.5096463022508,2.0396825396825395
0.607,0.393,,2.4732824427480917,40.05271828665568,2.0254452926208653
0.614,0.386,,2.481865284974093,40.05537459283388,1.9818652849740932
0.645,0.355,,2.295774647887324,37.42790697674418,1.8253521126760563
0.636,0.364,,2.2115384615384617,37.02987421383648,1.85989010989011
0.664,0.33599999999999997,,2.761904761904762,36.6039156626506,2.136904761904762
0.636,0.364,,2.456043956043956,35.693396226415096,2.008241758241758
0.64,0.36,,2.1333333333333333,34.9140625,1.788888888888889
0.665,0.33499999999999996,,2.4776119402985075,33.89473684210526,2.0417910447761196
0.613,0.387,,2.2325581395348837,37.80587275693311,1.847545219638243
0.657,0.34299999999999997,,2.3294460641399417,37.50076103500761,1.924198250728863
0.646,0.354,,2.1299435028248586,37.45510835913313,1.8135593220338984
0.641,0.359,,2.498607242339833,37.49141965678627,1.958217270194986
0.689,0.31100000000000005,,2.4212218649517685,35.30478955007257,1.9646302250803858
0.678,0.32199999999999995,,2.093167701863354,35.227138643067846,1.7173913043478262
0.691,0.30900000000000005,,2.3009708737864076,34.56729377713459,1.9029126213592233
0.682,0.31799999999999995,,2.147798742138365,34.03519061583578,1.8270440251572326
0.646,0.354,,2.0028248587570623,33.410216718266255,1.7542372881355932
0.688,0.31200000000000006,,2.1121794871794872,32.74273255813954,1.8557692307692308
0.689,0.31100000000000005,,1.9389067524115755,35.359941944847606,1.697749196141479
0.675,0.32499999999999996,,2.0615384615384613,35.431111111111115,1.7723076923076924
0.674,0.32599999999999996,,2.208588957055215,35.50445103857567,1.8282208588957056
0.643,0.357,,2.103641456582633,35.47744945567651,1.834733893557423
0.677,0.32299999999999995,,1.9195046439628483,33.4711964549483,1.693498452012384
0.68,0.31999999999999995,,2.15625,33.294117647058826,1.778125
0.676,0.32399999999999995,,2.234567901234568,33.02810650887574,1.8858024691358024
0.693,0.30700000000000005,,2.198697068403909,32.43290043290043,1.8534201954397393
0.715,0.28500000000000003,,2.221052631578947,32.08951048951049,1.8842105263157896
0.701,0.29900000000000004,,2.096989966555184,31.450784593437945,1.8193979933110367
0.662,0.33799999999999997,,2.029585798816568,33.62235649546828,1.7633136094674555
0.695,0.30500000000000005,,2.219672131147541,33.62158273381295,1.8459016393442622
0.686,0.31399999999999995,,2.0796178343949046,33.62390670553936,1.78343949044586
0.69,0.31000000000000005,,2.2419354838709675,33.72898550724638,1.8709677419354838
0.714,0.28600000000000003,,2.0594405594405596,31.84733893557423,1.7902097902097902
0.694,0.30600000000000005,,1.934640522875817,31.703170028818445,1.673202614379085
0.698,0.30200000000000005,,2.1456953642384105,31.479942693409743,1.8543046357615893
0.707,0.29300000000000004,,2.1706484641638224,31.019801980198018,1.8122866894197953
0.715,0.28500000000000003,,2.094736842105263,30.75944055944056,1.7789473684210526
0.723,0.277,,1.9855595667870036,30.29875518672199,1.7256317689530687
0.727,0.273,,1.9230769230769231,32.12242090784044,1.7179487179487178
0.733,0.267,,2.00749063670412,32.0,1.7790262172284643
0.7,0.30000000000000004,,1.8533333333333333,32.137142857142855,1.6666666666666667
0.729,0.271,,1.937269372693727,32.14128943758573,1.7158671586715868
0.75,0.25,,1.828,30.464,1.624
